,Movement,Time_in,timesfm,timesfm-q-0.1,timesfm-q-0.2,timesfm-q-0.3,timesfm-q-0.4,timesfm-q-0.5,timesfm-q-0.6,timesfm-q-0.7,timesfm-q-0.8,timesfm-q-0.9
49,EBL,2023-04-06 12:15:00-04:00,0.005053616,0.0,0.0,0.0,0.0,0.005053616,0.0,0.00026308978,0.0628423,0.86354893
50,EBL,2023-04-06 12:30:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0009304257,0.00043698377,0.0836813,0.87694824
51,EBL,2023-04-06 12:45:00-04:00,0.0,0.0,0.0006036088,0.0,0.0,0.0,0.0,0.0019292058,0.09309495,0.91588765
52,EBL,2023-04-06 13:00:00-04:00,0.0030963412,0.0,0.0090907235,0.003964307,0.0,0.0030963412,0.009726837,0.008791535,0.12125412,0.96854275
53,EBL,2023-04-06 13:15:00-04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033068038,0.11820797,0.9791066
54,EBL,2023-04-06 13:30:00-04:00,0.0041346936,0.0,0.00012663461,0.0,0.0065802587,0.0041346936,0.007549006,0.010035198,0.13982153,1.0172966
55,EBL,2023-04-06 13:45:00-04:00,0.015862834,0.0,0.0,0.0,0.0064354176,0.015862834,0.005873167,0.017218696,0.1776022,1.0546569
56,EBL,2023-04-06 14:00:00-04:00,0.00013219821,0.0,0.004641089,0.0,0.0,0.00013219821,0.011145633,0.016088992,0.182286,1.076812
57,EBL,2023-04-06 14:15:00-04:00,0.0044275606,0.008084068,0.0038889109,0.0020794927,0.0020774265,0.0044275606,0.0,0.008951646,0.1803361,1.1015477
58,EBL,2023-04-06 14:30:00-04:00,0.0074323015,0.0,0.006785471,0.0028457122,0.009506914,0.0074323015,0.000552482,0.010975089,0.1975215,1.1210122
59,EBL,2023-04-06 14:45:00-04:00,0.0077188076,0.0,0.005366452,0.0,0.0,0.0077188076,0.013595803,0.010220816,0.20669734,1.1482965
60,EBL,2023-04-06 15:00:00-04:00,0.012737993,0.0,0.00060919614,0.0,0.00015013636,0.012737993,0.010049391,0.014120489,0.24211317,1.1790442
61,EBL,2023-04-06 15:15:00-04:00,0.006109715,0.0,0.0017841868,0.0029250248,0.006160974,0.006109715,0.015856944,0.015310274,0.23783275,1.2033405
62,EBL,2023-04-06 15:30:00-04:00,0.0179561,0.0,0.008743277,0.0074685174,0.017475793,0.0179561,0.023144232,0.029606165,0.26122218,1.2491794
63,EBL,2023-04-06 15:45:00-04:00,0.00986878,0.0,0.0,0.0,0.0034887309,0.00986878,0.009409586,0.015368985,0.27487117,1.2597754
64,EBL,2023-04-06 16:00:00-04:00,0.008830821,0.0,0.0,0.0044460925,0.0015435715,0.008830821,0.012013789,0.022153147,0.2864811,1.3044555
65,EBL,2023-04-06 16:15:00-04:00,0.020236673,0.0,0.0012388183,0.003356847,0.011593591,0.020236673,0.01415827,0.02495588,0.31706378,1.3380624
66,EBL,2023-04-06 16:30:00-04:00,0.017209962,0.0,0.0013741972,0.0006138695,0.009797638,0.017209962,0.017838107,0.02722656,0.31877115,1.3390981
67,EBL,2023-04-06 16:45:00-04:00,0.008913076,0.0,0.0,0.008334404,0.009545425,0.008913076,0.017088866,0.021154664,0.31864062,1.362376
68,EBL,2023-04-06 17:00:00-04:00,0.010357551,0.0,0.0050617927,0.0013587484,5.9479848e-05,0.010357551,0.0069168224,0.015781838,0.3459701,1.3923405
69,EBL,2023-04-06 17:15:00-04:00,0.006106194,0.0,0.005664502,0.0,0.0021637315,0.006106194,0.0024931575,0.027690804,0.3613756,1.4238857
70,EBL,2023-04-06 17:30:00-04:00,0.012821227,0.0,0.0038343866,0.00292962,0.0035477509,0.012821227,0.010879912,0.02052856,0.38420472,1.4450461
71,EBL,2023-04-06 17:45:00-04:00,0.015231741,0.0,0.011782456,0.0013642958,0.0056058737,0.015231741,0.015822392,0.024537511,0.38763443,1.4580805
72,EBL,2023-04-06 18:00:00-04:00,0.017077707,0.002972343,0.011357911,0.014844902,0.01715321,0.017077707,0.015998634,0.026768744,0.4218938,1.5134361
73,EBL,2023-04-06 18:15:00-04:00,0.0031006676,0.0,0.0044764075,0.0013605037,0.00012128241,0.0031006676,0.012690917,0.020239646,0.4127819,1.5115656
74,EBL,2023-04-06 18:30:00-04:00,0.0058516534,0.0,0.0014899273,0.0,0.0007312879,0.0058516534,0.006975087,0.014878169,0.43875566,1.534484
75,EBL,2023-04-06 18:45:00-04:00,0.0034504575,0.0,0.0,0.0,0.0,0.0034504575,0.006989292,0.014623932,0.45733935,1.5711058
76,EBL,2023-04-06 19:00:00-04:00,0.010647267,0.008721167,0.011063346,0.011082497,0.0012839257,0.010647267,0.013080967,0.025757106,0.48327932,1.6191375
77,EBL,2023-04-06 19:15:00-04:00,0.007899374,0.0,0.004918327,7.330999e-05,0.0058882693,0.007899374,0.011407072,0.028526211,0.48710072,1.6413143
78,EBL,2023-04-06 19:30:00-04:00,0.004335708,0.0053072535,0.0,0.002816193,0.0,0.004335708,0.003986003,0.022000225,0.50322455,1.6544559
79,EBL,2023-04-06 19:45:00-04:00,0.008682409,0.0,0.0,0.0,0.0,0.008682409,0.010159664,0.019416714,0.5053981,1.6540946
80,EBL,2023-04-06 20:00:00-04:00,0.004426063,0.0,0.004569904,0.0,0.0,0.004426063,0.011592609,0.03332546,0.53086936,1.6955228
81,EBL,2023-04-06 20:15:00-04:00,0.00083377026,0.0,0.0,0.0,0.0007708967,0.00083377026,0.0019281213,0.024257572,0.5403926,1.7038643
